,log10_BF,IDs,CIR,GOU,Poi,NB
0,9.80533434253448,allen_C01_glu_Cox6b1,-8108.965048318421,-8118.770382660956,-8650.061533911598,-8117.257397471601
1,12.783282253785728,allen_C01_glu_Mdh1,-7806.128810693901,-7818.912092947687,-8201.277126527835,-7822.930981206139
2,-122.22235550079677,allen_C01_glu_Slc24a3,-8785.562739840288,-8663.340384339492,-16560.474823132605,-8782.928331656898
3,44.27388532891018,allen_C01_glu_Stmn3,-10013.740998288822,-10058.014883617732,-11264.306116385731,-10081.868364042886
4,10.249467808213012,allen_C01_glu_Gria2,-14289.744265497204,-14299.993733305417,-18895.02688996579,-14644.648535148139
5,-83.58277141877261,allen_C01_glu_Slc35f1,-11884.907433472232,-11801.32466205346,-18556.256142375772,-11900.721595866455
6,-153.99780946844294,allen_C01_glu_Trhde,-11321.783706390823,-11167.78589692238,-18120.612445767,-11320.10324092609
7,-0.8809898616927967,allen_C01_glu_Atxn1,-14358.640637987415,-14357.759648125722,-20223.235872019795,-14534.718171848075
8,98.0730150046129,allen_B08_glu_Cox6b1,-8840.489268030331,-8938.562283034944,-11323.35649123935,-8897.325621841092
9,60.13397905492275,allen_B08_glu_Mdh1,-8886.308275549345,-8946.442254604268,-11078.404593939395,-8950.527449013678
10,-136.88273209856015,allen_B08_glu_Slc24a3,-9201.710376596278,-9064.827644497718,-21896.884676773247,-9252.08174477706
11,149.76240602739563,allen_B08_glu_Stmn3,-11097.536097692548,-11247.298503719943,-17530.9316291686,-11310.41329005359
12,-56.555042699937985,allen_B08_glu_Gria2,-15139.072087083872,-15082.517044383934,-28560.969197566057,-15731.640519051316
13,-93.92445668585606,allen_B08_glu_Slc35f1,-12727.15190847731,-12633.227451791454,-26947.80865495869,-12819.782270553758
14,-88.38734001577359,allen_B08_glu_Trhde,-11096.457692249178,-11008.070352233404,-20467.063169139514,-11138.946549381682
15,-97.5887588128353,allen_B08_glu_Atxn1,-13551.171082403958,-13453.582323591123,-26167.47773880021,-13622.93403417344
